ts,symbol,action,reason,price,balance
2026-05-08T14:15:00Z,SOLUSDT,BUY,BOX_BREAKOUT_UP,89.3,100.0
2026-05-08T17:30:00Z,SOLUSDT,SELL,TP/SL_OR_FAIL,91.61,100.13
2026-05-08T17:35:00Z,SOLUSDT,BUY,BOX_BREAKOUT_UP,91.88,100.13
2026-05-08T20:50:00Z,SOLUSDT,SELL,TP/SL_OR_FAIL,92.11,100.14
2026-05-08T21:05:00Z,SOLUSDT,SHORT,BOX_BREAKOUT_DOWN,91.88,100.14
2026-05-08T22:10:00Z,SOLUSDT,COVER,TP/SL_OR_FAIL,92.65,100.1
2026-05-09T01:35:00Z,SOLUSDT,BUY,BOX_BREAKOUT_UP,92.84,100.1
2026-05-09T04:55:00Z,SOLUSDT,SELL,TP/SL_OR_FAIL,93.24,100.12
2026-05-09T05:00:00Z,SOLUSDT,SHORT,BOX_BREAKOUT_DOWN,92.98,100.12
2026-05-09T06:00:00Z,SOLUSDT,COVER,TP/SL_OR_FAIL,93.91,100.07
